region,theta=1.0,theta=0.5,theta=0.0,rate_bp
EU27,-0.08418393262770334,-0.04808298669768976,-0.011982040767676186,0.0
USA,-0.0020270464588583166,-0.004644198352273452,-0.007261350245688586,0.0
CHN,-0.0037394648214705206,-0.02017957341134389,-0.03661968200121726,0.0
GBR,-0.010163720488158787,-0.020390363612182258,-0.030617006736205727,0.0
JPN,-0.00364506061946004,-0.010068157790509687,-0.01649125496155934,0.0
IND,-0.002937374719342912,-0.016132483118055808,-0.029327591516768704,0.0
CAN,-0.004019775410969986,-0.007296768742356186,-0.010573762073742384,0.0
NOR,-0.012375752039470566,-0.02680849500894124,-0.04124123797841191,0.0
IDN,-0.0013523254632017622,-0.007609360089699466,-0.013866394716197168,0.0
RUS,-0.005774992984728912,-0.028243048312003267,-0.050711103639277624,0.0
CHL,-0.004422837246644306,-0.008210119534951056,-0.011997401823257803,0.0
AUS,-0.002721338349632899,-0.004804304096286196,-0.006887269842939491,0.0
SGP,-0.01616040146041692,-0.024223963659269772,-0.032287525858122626,0.0
TUR,-0.012575643033383026,-0.045376764720056646,-0.07817788640673025,0.0
KOR,-0.007405696090661485,-0.029971366687401548,-0.05253703728414161,0.0
KAZ,-0.0027930982173151454,-0.01282057987710341,-0.022848061536891666,0.0
MEA,-0.006126998732750662,-0.01588366726218329,-0.025640335791615915,0.0
AFR,-0.005815983445934216,-0.01442755679979281,-0.023039130153651402,0.0
LAM,-0.004990927722358298,-0.01021228135411535,-0.015433634985872403,0.0
ROW,-0.007208192807334773,-0.021109792037304294,-0.03501139126727382,0.0
